Date,HomeTeam,AwayTeam,FTHG,FTAG,home_form_last5,away_form_last5,home_goals_scored_last5,away_goals_scored_last5,home_goals_conceded_last5,away_goals_conceded_last5,home_goals_diff_last5,away_goals_diff_last5,home_win_rate_last5,away_win_rate_last5,head2head_form_last3,head2head_goal_diff_last3,FTR
2019-09-22,Standard,Eupen,3,0,1.8,0.6,2.2,0.4,1.2,1.2,1.0,-0.8,0.6,0.0,,,1
2019-09-28,Mechelen,Club brugge,0,5,1.4,2.2,1.8,1.4,2.0,0.4,-0.2,1.0,0.4,0.6,,,-1
2019-09-28,Cercle brugge,Eupen,1,2,0.6,0.4,1.0,0.2,2.2,1.6,-1.2,-1.4,0.2,0.0,,,-1
2019-09-28,Gent,Kortrijk,2,0,2.0,0.8,2.2,1.8,1.2,2.2,1.0,-0.4,0.6,0.2,,,1
2019-09-28,Mouscron,Waregem,2,2,1.6,1.8,1.6,1.6,1.4,0.8,0.2,0.8,0.4,0.4,,,0
2019-09-28,St truiden,Genk,3,3,1.6,2.0,1.2,2.0,0.6,0.8,0.6,1.2,0.4,0.6,,,0
2019-09-29,Standard,Charleroi,1,1,2.4,1.8,2.6,1.8,0.8,1.6,1.8,0.2,0.8,0.6,,,0
2019-09-29,Anderlecht,Waasland-beveren,0,0,0.6,0.4,1.0,0.4,1.8,2.2,-0.8,-1.8,0.2,0.0,,,0
2019-09-29,Oostende,Antwerp,1,1,0.8,1.8,1.2,1.6,2.4,1.2,-1.2,0.4,0.2,0.6,,,0
2019-10-04,Charleroi,Anderlecht,1,2,1.4,0.8,1.6,0.6,1.6,1.0,0.0,-0.4,0.4,0.2,,,-1
2019-10-05,Eupen,Mechelen,0,2,0.8,0.8,0.6,1.2,1.8,2.8,-1.2,-1.6,0.2,0.2,,,-1
2019-10-05,Waasland-beveren,Oostende,3,1,0.6,1.0,0.4,1.4,1.4,2.2,-1.0,-0.8,0.0,0.2,,,1
2019-10-05,Waregem,Cercle brugge,6,0,1.4,0.6,1.4,1.0,1.0,2.0,0.4,-1.0,0.2,0.2,,,1
2019-10-05,Kortrijk,St truiden,4,0,0.2,1.8,1.0,1.8,2.2,0.8,-1.2,1.0,0.0,0.4,,,1
2019-10-06,Club brugge,Gent,4,0,2.2,2.6,2.0,2.4,0.4,0.8,1.6,1.6,0.6,0.8,,,1
2019-10-06,Antwerp,Standard,2,2,2.0,2.0,1.6,2.0,1.0,0.8,0.6,1.2,0.6,0.6,,,0
2019-10-06,Genk,Mouscron,2,1,1.6,1.8,1.8,1.8,1.4,1.0,0.4,0.8,0.4,0.4,,,1
2019-10-18,Mouscron,Club brugge,0,1,1.2,2.6,1.6,2.8,1.4,0.4,0.2,2.4,0.2,0.8,,,-1
2019-10-19,Oostende,Eupen,2,3,0.4,0.8,1.2,0.6,2.6,1.8,-1.4,-1.2,0.0,0.2,,,-1
2019-10-19,Standard,Genk,1,0,1.6,1.6,2.0,2.0,1.0,1.6,1.0,0.4,0.4,0.4,,,1
2019-10-19,Kortrijk,Waregem,2,0,0.8,1.8,1.6,2.6,1.8,1.0,-0.2,1.6,0.2,0.4,,,1
2019-10-19,Gent,Waasland-beveren,2,0,2.0,1.2,2.0,1.0,1.6,1.4,0.4,-0.4,0.6,0.2,,,1
2019-10-20,Anderlecht,St truiden,4,1,1.4,1.6,1.0,1.8,1.0,1.6,0.0,0.2,0.4,0.4,,,1
2019-10-20,Cercle brugge,Charleroi,0,3,0.0,1.4,0.8,1.6,3.2,1.4,-2.4,0.2,0.0,0.4,,,-1
2019-10-20,Mechelen,Antwerp,3,1,1.4,1.6,1.4,1.6,2.4,1.4,-1.0,0.2,0.4,0.4,,,1
2019-10-25,Eupen,Anderlecht,0,0,1.4,1.4,1.2,1.6,1.8,1.2,-0.6,0.4,0.4,0.4,,,0
2019-10-26,Charleroi,Mouscron,1,0,1.4,1.0,1.4,1.2,1.4,1.2,0.0,0.0,0.4,0.2,,,1
2019-10-26,Antwerp,Kortrijk,3,1,1.6,1.2,1.8,1.6,1.6,1.4,0.2,0.2,0.4,0.4,,,1
2019-10-26,Waregem,Oostende,2,0,1.2,0.2,2.2,1.2,1.4,2.8,0.8,-1.6,0.2,0.0,,,1
2019-10-26,Genk,Cercle brugge,1,0,1.4,0.0,1.8,0.4,1.6,3.2,0.2,-2.8,0.4,0.0,,,1
2019-10-27,Waasland-beveren,Mechelen,1,3,1.2,1.8,1.0,1.6,1.0,2.2,0.0,-0.6,0.2,0.6,,,-1
2019-10-27,St truiden,Gent,0,0,1.0,2.0,1.6,1.8,2.4,1.2,-0.8,0.6,0.2,0.6,,,0
2019-10-27,Club brugge,Standard,1,1,3.0,2.2,2.8,2.2,0.2,0.8,2.6,1.4,1.0,0.6,,,0
2019-10-29,Cercle brugge,Mouscron,2,2,0.0,0.4,0.4,0.8,3.0,1.4,-2.6,-0.6,0.0,0.0,,,0
2019-10-29,Kortrijk,Eupen,1,2,1.2,1.4,1.8,1.0,1.6,1.6,0.2,-0.6,0.4,0.4,,,-1
2019-10-29,Oostende,Charleroi,0,1,0.2,1.4,1.0,1.2,2.4,1.2,-1.4,0.0,0.0,0.4,,,-1
2019-10-30,Genk,Antwerp,2,2,2.0,1.6,1.8,2.0,1.2,1.6,0.6,0.4,0.6,0.4,,,0
2019-10-30,Mechelen,St truiden,1,2,2.4,1.0,2.2,1.4,1.8,2.2,0.4,-0.8,0.8,0.2,,,-1
2019-10-30,Standard,Waasland-beveren,2,0,1.8,1.0,1.6,1.0,0.8,1.4,0.8,-0.4,0.4,0.2,,,1
2019-10-30,Waregem,Club brugge,0,2,1.6,2.6,2.4,2.6,1.2,0.4,1.2,2.2,0.4,0.8,,,-1
2019-10-31,Anderlecht,Gent,3,3,1.6,1.6,1.4,1.2,0.8,1.2,0.6,0.0,0.4,0.4,,,0
2019-11-02,Mouscron,Antwerp,3,1,0.4,1.2,1.0,1.8,1.6,1.8,-0.6,0.0,0.0,0.2,,,1
2019-11-02,Waasland-beveren,Waregem,1,2,0.8,1.4,0.8,2.0,1.6,1.2,-0.8,0.8,0.2,0.4,,,-1
2019-11-02,Club brugge,Kortrijk,3,0,2.6,1.2,2.6,1.6,0.2,1.4,2.4,0.2,0.8,0.4,,,1
2019-11-02,Eupen,Genk,2,0,2.0,1.6,1.4,1.6,1.2,1.4,0.2,0.2,0.6,0.4,,,1
2019-11-02,St truiden,Oostende,1,0,1.0,0.2,1.2,0.8,2.4,2.0,-1.2,-1.2,0.2,0.0,,,1
2019-11-03,Anderlecht,Cercle brugge,2,1,1.8,0.2,1.8,0.6,1.0,2.8,0.8,-2.2,0.4,0.0,,,1
2019-11-03,Gent,Standard,3,1,1.6,1.8,1.4,1.4,1.4,0.8,0.0,0.6,0.4,0.4,,,1
2019-11-03,Mechelen,Charleroi,2,2,1.8,2.0,1.8,1.4,1.8,0.6,0.0,0.8,0.6,0.6,,,0
2019-11-08,Waregem,Anderlecht,1,2,1.8,2.2,2.0,2.2,1.0,1.2,1.0,1.0,0.6,0.6,,,-1
2019-11-09,Charleroi,Eupen,1,0,2.0,2.0,1.6,1.4,0.8,1.0,0.8,0.4,0.6,0.6,,,1
2019-11-09,Cercle brugge,St truiden,2,1,0.2,1.4,0.6,0.8,2.8,1.8,-2.2,-1.0,0.0,0.4,,,1
2019-11-09,Kortrijk,Waasland-beveren,1,3,1.2,0.6,1.6,1.0,1.6,2.0,0.0,-1.0,0.4,0.2,,,-1
2019-11-09,Oostende,Mouscron,2,2,0.0,0.8,0.6,1.2,2.0,1.4,-1.4,-0.2,0.0,0.2,,,0
2019-11-10,Antwerp,Club brugge,2,1,1.0,2.6,1.8,2.2,2.2,0.2,-0.4,2.0,0.2,0.8,,,1
2019-11-10,Genk,Gent,0,2,1.4,1.6,1.0,1.6,1.2,1.6,-0.2,0.0,0.4,0.4,,,-1
2019-11-10,Standard,Mechelen,1,2,1.6,2.0,1.4,2.2,1.2,1.2,0.2,1.0,0.4,0.6,,,-1
2019-11-21,Antwerp,Gent,3,2,1.4,2.2,1.8,2.0,2.0,0.8,-0.2,1.2,0.4,0.6,,,1
